// **************************************************************
//                    发布版本 2011181405 - 201118
//
// **************************************************************
// ***       文件版本 2011181405          更新版本 42848       ***
// ***        模组作者 BretMango    　    兼容版本 42848       ***
// **************************************************************
//
//
//  **************************************************************

//9543 "模组-测试" //标明模组为测试情况下
//9255 "消息-模组测试中" //标明模组为测试情况下

//
//本部分的修改包括：
//①仅限于游戏界面、警告提示等官方漏翻的英文残留；
//②仅限于游戏界面、警告提示等的机翻错误修正；
//③某些极其影响中文用户理解、极其不符合中文语法习惯的语句。
//
//不包括以下修改：
//①单位/科技的名称与帮助。
//②历史、民族相关。这些已经有专门的人在做而且做得很完备了。
//


//==MOD-Start==

//*****************
//第一部分：漏翻补译
//*****************


//界面
IDS_PROFILE_TOTAL "统计"
IDS_DIALOG_TUTORIAL_NO "跳过游戏教程"
99255 "查看《帝国时代》的最新消息！" //201118
300566 "藏品"
300573 "困难游戏的完成程度：%d%%"
300575 "静音"
//界面-End


//热键
19710 "滚轮向上"
19711 "滚轮向下"
//热键-End

//选项
IDS_OPTIONS_DISABLE_UGC_WARNING_HELP_TEXT "禁用UGC(用户生成内容)警告。\n勾选此选项将允许多人大厅自动向您发送所需的UGC文件(如自定义AI、随机地图、联机场景、数据集等)。\n注:UGC是指没有经过Xbox游戏工作室的验证或审查的、 玩家自制的内容。 您需承担使用这类内容的风险。"
IDS_OPTIONS_SHOW_ADVANCED "显示高级选项" 
8827 "游戏内UI面板比例"
300054 "启用跨平台游戏"
300055 "[Help Text] 跨平台游戏"
300060 "已启用跨平台游戏：您当前可与来自其他平台的玩家比赛。\n您可以在游戏标签下的选项画面禁用此功能。"
//选项-End

//多人游戏
170104 "匹配用时："
IDS_RANKED_SAVED_WARNING "请注意：游戏存档在恢复后将不计入排名。"
IDS_SEND_FILE_FAILED "无法把文件 %0s 传输给 %1s 玩家。"

IDS_TEMP_CONTENT_DOWNLOAD_GET_DATA "正在获取比赛内容数据"
IDS_REPORTING_BAD_CLAN_TAG_HELP_TEXT "举报此公会使用不适当的公会标签" 
//多人游戏-End

//In-game
9911 "贡品\n送出/收到"
42220 "<b>成就得分<b> \n显示所有玩家的各项得分。"
IDS_LEAVE_MAP "离开地图"
300050 "建造\n世界奇观"
//In-game-End

//活动
IDS_NEXT_DAILY_CHALLENGE_REWARD "下次每日挑战 (将于格林尼治标准时间早上 8 时, 北京时间下午 16 时解锁)"
//活动-End

//官方战役
65335 "- 已将<Variable 2>/8 名村民交给祭司。"
//官方战役-End


//*********************
//第二部分：机翻错误修正
//注：用双斜杠注释的是暂时未经调查大众意向、未决定加入的字串，可能后续会取消注释加入应用，也可能放弃加入。
//*********************

//菜单-UI界面

4932 "<b>统计表<b> \n显示玩家/队伍成绩。指南上有如何计算成绩的方法。在多人游戏中，红色或黄色点代表该玩家连接速度慢。一只海龟表示该玩家的计算机速度慢。玩家名字打叉表示将被排除在该游戏外。"

IDS_MAINTENANCE_MAIN_MENU_DOWNTIME "服务器维护将于 %s 后开始 \n预计维护用时：%s"

8857 "拖拖曳式滚屏激活键"
IDS_OPTIONS_CLICK_DRAG_SCROLL "拖曳式滚屏激活键"
IDS_OPTIONS_CLICK_DRAG_SCROLL_HELP_TEXT "(官方原称 点击并拖曳滚动按钮)\n选择用于激活鼠标拖曳式滚屏的按键。\n利用拖曳式滚屏, 您将可以实现视野的细微挪动。\n  鼠标右键 - 默认。按住右键并拖动鼠标即可滚动屏幕。\n  自定义热键 - 请在“滚动命令”热键组中设置该自定义热键, 按住该热键的同时拖动鼠标即可滚动屏幕。\n  禁用 - 当然, 您也可以完全禁用拖曳式滚屏"
8888 "独特摧毁动画"
8897 "Shift合并编队"
8898 "提前显示未激活的项目图标"
9007 "正在保存多人游戏 ..."
9018 "正在保存章节..."
9414 "保存游戏前必须输入名称。"
9415 "保存场景前必须输入名称。"
9659 "允许作弊："
9666 "选择的场景为无效场景。"
9668 "所有人都必须选择一个独特的民族。"
9672 "您希望踢出 %s？"
9673 "您已掉出这个游戏。"
9705 "固定位置：%s"
9706 "延长战斗：%s"
9707 "禁用贸易：%s"
9723 "允许作弊"
9749 "%s 场景游戏设定"
9813 "无效的多人游戏存档。"
9818 "累积 %d 黄金。"
9864 "我们的立场态度"
9865 "他们的立场态度"
9866 "外交立场态度"
10014 "个人胜利"
10033 "点击显示并进入您已订阅的自定义战役。"
10115 "单一"

9322 "地图可视性：" //原：能见度。英文是Visibility。接下来的几条普遍替换了能见度。
9656 "地图可视性："
11591 "设置玩家可视性"
169604 "可视性"
200041 "可视性"

300211 "输入一段简要的描述来介绍您的公会。\n描述可以在日后更改。描述内容将会公开显示, 不受可视性设置影响。"
300212 "公会可视性设置。\n公开 表示任何人都可以加入, 请求会自动接受。\n私人 表示邀请需要通过公会会长或者拥有管理员权限的成员来接受。"
300216 "更改您公会的可视性、公会图片和公会描述。必须登录 Xbox Live 才能更改。"
300236 "加入所选比赛类型的匹配队列。"
300321 "点击切换未探索区域的可视性"
300293 "通过是否允许旁观者来筛选大厅。勾选只显示允许旁观者的大厅，打叉则只显示不允许旁观者的大厅。"
300228 "选择代表您公会的图标。"
300229 "选择代表您自己的图标。"
300301 "点击后可选择玩家个人资料图标。"
300511 "该图标不可用"
300096 "最近游玩"

IDS_LOAD_TAB_SAVE "游戏存档"

